,Store,Date,Temperature,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,IsHoliday,Unemployment
0,1,05/02/2010,42.31,0.0,0.0,0.0,0.0,0.0,False,8.106
1,1,12/02/2010,38.51,0.0,0.0,0.0,0.0,0.0,True,8.106
2,1,19/02/2010,39.93,0.0,0.0,0.0,0.0,0.0,False,8.106
3,1,26/02/2010,46.63,0.0,0.0,0.0,0.0,0.0,False,8.106
4,1,05/03/2010,46.5,0.0,0.0,0.0,0.0,0.0,False,8.106
5,1,12/03/2010,57.79,0.0,0.0,0.0,0.0,0.0,False,8.106
6,1,19/03/2010,54.58,0.0,0.0,0.0,0.0,0.0,False,8.106
7,1,26/03/2010,51.45,0.0,0.0,0.0,0.0,0.0,False,8.106
8,1,02/04/2010,62.27,0.0,0.0,0.0,0.0,0.0,False,7.808
9,1,09/04/2010,65.86,0.0,0.0,0.0,0.0,0.0,False,7.808
10,1,16/04/2010,66.32,0.0,0.0,0.0,0.0,0.0,False,7.808
11,1,23/04/2010,64.84,0.0,0.0,0.0,0.0,0.0,False,7.808
12,1,30/04/2010,67.41,0.0,0.0,0.0,0.0,0.0,False,7.808
13,1,07/05/2010,72.55,0.0,0.0,0.0,0.0,0.0,False,7.808
14,1,14/05/2010,74.78,0.0,0.0,0.0,0.0,0.0,False,7.808
15,1,21/05/2010,76.44,0.0,0.0,0.0,0.0,0.0,False,7.808
16,1,28/05/2010,80.44,0.0,0.0,0.0,0.0,0.0,False,7.808
17,1,04/06/2010,80.69,0.0,0.0,0.0,0.0,0.0,False,7.808
18,1,11/06/2010,80.43,0.0,0.0,0.0,0.0,0.0,False,7.808
19,1,18/06/2010,84.11,0.0,0.0,0.0,0.0,0.0,False,7.808
20,1,25/06/2010,84.34,0.0,0.0,0.0,0.0,0.0,False,7.808
21,1,02/07/2010,80.91,0.0,0.0,0.0,0.0,0.0,False,7.787
22,1,09/07/2010,80.48,0.0,0.0,0.0,0.0,0.0,False,7.787
23,1,16/07/2010,83.15,0.0,0.0,0.0,0.0,0.0,False,7.787
24,1,23/07/2010,83.36,0.0,0.0,0.0,0.0,0.0,False,7.787
25,1,30/07/2010,81.84,0.0,0.0,0.0,0.0,0.0,False,7.787
26,1,06/08/2010,87.16,0.0,0.0,0.0,0.0,0.0,False,7.787
27,1,13/08/2010,87.0,0.0,0.0,0.0,0.0,0.0,False,7.787
28,1,20/08/2010,86.65,0.0,0.0,0.0,0.0,0.0,False,7.787
29,1,27/08/2010,85.22,0.0,0.0,0.0,0.0,0.0,False,7.787
30,1,03/09/2010,81.21,0.0,0.0,0.0,0.0,0.0,False,7.787
31,1,10/09/2010,78.69,0.0,0.0,0.0,0.0,0.0,True,7.787
32,1,17/09/2010,82.11,0.0,0.0,0.0,0.0,0.0,False,7.787
33,1,24/09/2010,80.94,0.0,0.0,0.0,0.0,0.0,False,7.787
34,1,01/10/2010,71.89,0.0,0.0,0.0,0.0,0.0,False,7.838
35,1,08/10/2010,63.93,0.0,0.0,0.0,0.0,0.0,False,7.838
36,1,15/10/2010,67.18,0.0,0.0,0.0,0.0,0.0,False,7.838
37,1,22/10/2010,69.86,0.0,0.0,0.0,0.0,0.0,False,7.838
